MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
14	14	0	0	1500
15.47	15.47	1.47	4.06	724.137939
16.14	16.14	2.14	5.88	736.2631836
16.88	16.88	2.88	7.93	721.951111
16.93	16.93	2.93	8.06	769.248291
16.98	16.98	2.98	8.2	714.2668457
19.75	19.75	5.75	11.93	1485.2550049
19.96	19.96	5.96	12.2	1555.5465088
22.93	22.93	8.93	16.2	1485.0010986
25.91	25.91	11.91	20.2	1490
28.88	28.88	14.88	24.2	1485
34.83	34.83	20.83	32.2	1487.5001221
40.79	40.79	26.79	40.2	1490
43.76	43.76	29.76	44.2	1485
46.74	46.74	32.74	48.2	1490.0010986
49.71	49.71	35.71	52.2	1484.9980469
52.69	52.69	38.69	56.2	1490
55.66	55.66	41.66	60.2	1485.0020752
58.64	58.64	44.64	64.2	1490
64.59	64.59	50.59	72.2	1487.4985352
67.56	67.56	53.56	76.2	1485.005249
70.54	70.54	56.54	80.2	1490
73.51	73.51	59.51	84.2	1485
76.49	76.49	62.49	88.2	1489.9971924
79.46	79.46	65.46	92.2	1485
82.44	82.44	68.44	96.2	1490
85.41	85.41	71.41	100.2	1485.00293
88.39	88.39	74.39	104.2	1489.9971924
91.36	91.36	77.36	108.2	1485
94.34	94.34	80.34	112.2	1489.99707
100.29	100.29	86.29	120.2	1487.503418
103.27	103.27	89.27	124.2	1489.99707
106.24	106.24	92.24	128.2	1485
109.22	109.22	95.22	132.2	1489.9978027
112.19	112.19	98.19	136.2	1485.0019531
115.17	115.17	101.17	140.2	1490
118.14	118.14	104.14	144.2	1485.0019531
124.1	124.1	110.1	152.2	1489.998779
127.07	127.07	113.07	156.2	1485.0018311
130.05	130.0500183	116.050011	160.2	1490.0030518
133.02	133.02	119.02	164.2	1485.0018311
136	136	122	168.2	1489.994141
138.97	138.97	124.97	172.2	1485.001709
141.95	141.9499817	127.949989	176.2	1489.9940186
144.92	144.92	130.92	180.2	1485.0075684
147.9	147.9	133.9	184.2	1489.994141
150.88	150.88	136.88	188.2	1490.00647
153.85	153.85	139.85	192.2	1485.0015869
156.83	156.83	142.83	196.2	1489.9940186
159.8	159.8	145.8	200.2	1485.0080566
162.78	162.78	148.78	204.2	1489.9940186
165.75	165.75	151.75	208.2	1485.0014648
168.73	168.73	154.73	212.2	1489.9940186
171.7	171.7	157.7	216.2	1485.0013428
174.68	174.68	160.68	220.2	1489.9938965
177.66	177.66	163.66	224.2	1490.01355
180.63	180.63	166.63	228.2	1484.9957275
183.61	183.61	169.61	232.2	1490
186.58	186.58	172.58	236.2	1485.001221
189.56	189.5600128	175.5600128	240.2	1490.001709
192.53	192.53	178.53	244.2	1485.001221
195.51	195.51	181.51	248.2	1489.9938965
198.48	198.48	184.48	252.2	1484.9954834
201.46	201.46	187.46	256.2	1490
204.44	204.4399872	190.4399872	260.2	1489.9937744
207.41	207.41	193.41	264.2	1485.0151367
210.39	210.39	196.39	268.2	1489.9937744
213.36	213.36	199.36	272.2	1484.9953613
216.34	216.34	202.34	276.2	1489.9936523
219.31	219.3100128	205.3100128	280.2	1485.0155029
222.29	222.29	208.29	284.2	1489.9937744
225.26	225.26	211.26	288.2	1484.995239
228.24	228.24	214.24	292.2	1490.01123
231.22	231.22	217.22	296.2	1489.9936523
234.19	234.1899872	220.1899872	300.2	1484.9951172
237.17	237.17	223.17	304.2	1490.003418
240.14	240.14	226.14	308.2	1485.0062256
243.12	243.12	229.12	312.2	1489.99353
246.09	246.09	232.09	316.2	1484.9949951
249.06	249.0600128	235.0600128	320.2	1485.0053711
252.04	252.04	238.04	324.2	1490.0046387
255.02	255.02	241.02	328.2	1490
257.99	257.99	243.99	332.2	1484.9886475
260.97	260.97	246.97	336.2	1490.0108643
263.9500122	263.9500122	249.95	340.2	1490
269.9	269.9	255.9	348.2	1487.496582
272.87	272.87	258.87	352.2	1485.005859
275.85	275.85	261.85	356.2	1490
278.82	278.82	264.82	360.2	1485.0063477
281.8	281.8	267.8	364.2	1489.9873047
284.78	284.78	270.78	368.2	1490.01062
287.75	287.75	273.75	372.2	1484.9946289
290.730011	290.730011	276.730011	376.2	1490
293.7	293.7	279.7	380.2	1485.0056152
296.68	296.68	282.68	384.2	1489.9871826
299.65	299.65	285.65	388.2	1485.006958
302.63	302.63	288.63	392.2	1490
305.6	305.6	291.6	396.2	1485.0054932
308.5799866	308.5799866	294.5799866	400.2	1489.9871826
311.56	311.56	297.56	404.2	1490.012207
314.53	314.53	300.53	408.2	1484.9943848
317.51001	317.51001	303.51001	412.2	1490.0102539
320.480011	320.480011	306.480011	416.2	1484.9942627
323.46	323.46	309.46	420.2	1489.9871826
326.43	326.43	312.43	424.2	1485.005249
329.4	329.4	315.4	428.2	1485.0078125
332.38	332.38	318.38	432.2	1490
335.3599854	335.3599854	321.3599854	436.2	1489.9871826
338.34	338.34	324.34	440.2	1490.01001
341.31	341.31	327.31	444.2	1485.008301
344.29	344.29	330.29	448.2	1489.9989014
347.26001	347.26001	333.26001	452.2	1484.9940186
350.24	350.24	336.24	456.2	1489.998291
353.21	353.21	339.21	460.2	1484.9938965
356.19	356.19	342.19	464.2	1489.998779
359.16	359.16	345.16	468.2	1485.0198975
362.1400146	362.1400146	348.1400146	472.2	1489.998779
365.12	365.12	351.12	476.2	1489.9871826
368.09	368.09	354.09	480.2	1484.9937744
371.07	371.0700378	357.0700378	484.2	1490.0251465
374.04	374.04	360.04	488.2	1484.9937744
377.019989	377.019989	363.019989	492.2	1489.9873047
382.96	382.96	368.96	500.2	1484.9936523
385.94	385.9399719	371.9399719	504.2	1489.9984131
388.9200134	388.9200134	374.9200134	508.2	1490.0367432
391.9	391.9	377.9	512.2	1489.9873047
394.87	394.87	380.87	516.2	1484.99353
397.85	397.85	383.85	520.2	1489.998291
400.82	400.8200378	386.8200378	524.2	1485.0101318
406.769989	406.769989	392.769989	532.2	1487.4903564
409.75	409.75	395.75	536.2	1490.0203857
412.72	412.72	398.72	540.2	1484.9932861
418.68	418.6799622	404.6799622	548.2	1489.9926758
421.65	421.65	407.65	552.2	1485.0107422
427.6	427.6	413.6	560.2	1487.4956055
430.5799866	430.5799866	416.5799866	564.2	1490.009399
433.5499878	433.5500183	419.5500183	568.2	1485.0111084
436.53	436.53	422.53	572.2	1489.9979248
439.5	439.5	425.5	576.2	1484.993042
442.480011	442.480011	428.480011	580.2	1489.9978027
445.46	445.46	431.46	584.2	1489.9871826
451.4	451.4	437.4	592.2	1485.002319
454.38	454.38	440.38	596.2	1490.02002
457.3599854	457.3599854	443.3599854	600.2	1489.9871826
460.3299866	460.3299866	446.3299866	604.2	1484.9927979
466.29	466.29	452.29	612.2	1490.0073242
469.26001	469.26001	455.26001	616.2	1484.9926758
472.24	472.24	458.24	620.2	1489.9871826
475.21	475.21	461.21	624.2	1485.014771
478.19	478.19	464.19	628.2	1490.0074463
481.16	481.16	467.16	632.2	1485.0026855
484.1400146	484.1400146	470.1400146	636.2	1489.9974365
487.1099854	487.1099854	473.1099854	640.2	1484.9823
490.09	490.09	476.09	644.2	1489.9973145
493.07	493.07	479.07	648.2	1490.0075684
496.04	496.04	482.04	652.2	1485.0249023
499.019989	499.019989	485.019989	656.2	1489.9873047
501.99	501.99	487.99	660.2	1484.9924316
504.97	504.97	490.97	664.2	1489.9971924
507.9500122	507.9500122	493.9500122	668.2	1490.00769
510.9200134	510.9200134	496.9200134	672.2	1485.00293
513.8900146	513.8900146	499.8900146	676.2	1484.99231
519.8499756	519.8499756	505.8499756	684.2	1489.998291
522.82	522.82	508.82	688.2	1485.0128174
525.8	525.8	511.8	692.2	1489.9871826
528.780029	528.780029	514.780029	696.2	1490.0177
534.719971	534.719971	520.719971	704.2	1484.9823
537.7	537.7	523.7	708.2	1490.0177
540.6699829	540.6699829	526.6699829	712.2	1485.0045166
543.6500244	543.6500244	529.6500244	716.2	1490.0177
549.6	549.6	535.6	724.2	1487.4847412
552.5800171	552.5800171	538.5800171	728.2	1490.0177
555.56	555.56	541.56	732.2	1489.9871826
558.530029	558.530029	544.530029	736.2	1485.0128174
561.5	561.5	547.5	740.2	1485.0045166
564.47998	564.47998	550.47998	744.2	1489.9871826
567.4500122	567.4500122	553.4500122	748.2	1485.0128174
573.4099731	573.4099731	559.4099731	756.2	1489.9871826
576.38	576.38	562.38	760.2	1485.0128174
579.3499756	579.3499756	565.3499756	764.2	1484.9823
582.3300171	582.3300171	568.3300171	768.2	1490.0177
585.31	585.31	571.31	772.2	1490.009399
588.280029	588.280029	574.280029	776.2	1485.0128174
594.24	594.24	580.24	784.2	1489.9871826
597.210022	597.210022	583.210022	788.2	1485.0128174
600.19	600.19	586.19	792.2	1489.9871826
603.1599731	603.1599731	589.1599731	796.2	1484.9823
606.1400146	606.1400146	592.1400146	800.2	1490.039917
609.1099854	609.1099854	595.1099854	804.2	1484.9823
612.0900269	612.0900269	598.0900269	808.2	1490.0177
615.06	615.06	601.06	812.2	1484.9823
618.030029	618.030029	604.030029	816.2	1485.0128174
623.99	623.99	609.99	824.2	1489.9871826
626.960022	626.960022	612.960022	828.2	1485.0350342
632.9199829	632.9199829	618.9199829	836.2	1489.9871826
635.8900146	635.8900146	621.8900146	840.2	1485.0128174
638.87	638.87	624.87	844.2	1489.9871826
641.8400269	641.8400269	627.8400269	848.2	1485.0128174
644.82	644.82	630.82	852.2	1489.9871826
647.789978	647.789978	633.789978	856.2	1484.9823
650.77002	650.77002	636.77002	860.2	1490.039917
653.75	653.75	639.75	864.2	1489.9871826
656.719971	656.719971	642.719971	868.2	1484.9823
659.7	659.7	645.7	872.2	1490.0177
662.6699829	662.6699829	648.6699829	876.2	1484.9823
665.6400146	665.6400146	651.6400146	880.2	1485.0128174
671.6	671.6	657.6	888.2	1489.998291
674.57	674.57	660.57	892.2	1485.0128174
677.5499878	677.5499878	663.5499878	896.2	1489.9871826
680.530029	680.530029	666.530029	900.2	1490.0177
683.5	683.5	669.5	904.2	1484.9823
686.47998	686.47998	672.47998	908.2	1489.9871826
689.4500122	689.4500122	675.4500122	912.2	1485.0128174
692.43	692.43	678.43	916.2	1489.9871826
695.4	695.4	681.4	920.2	1485.0350342
698.37	698.37	684.37	924.2	1484.9823
701.3499756	701.3499756	687.3499756	928.2	1489.9871826
704.3300171	704.3300171	690.3300171	932.2	1490.0177
707.31	707.31	693.31	936.2	1489.9871826
710.280029	710.280029	696.280029	940.2	1485.0128174
713.25	713.25	699.25	944.2	1484.9823
716.22998	716.22998	702.22998	948.2	1490.009399
719.210022	719.210022	705.210022	952.2	1490.0177
722.18	722.18	708.18	956.2	1484.9823
725.1599731	725.1599731	711.1599731	960.2	1489.9871826
728.13	728.13	714.13	964.2	1485.0128174
731.1099854	731.1099854	717.1099854	968.2	1489.9871826
734.0900269	734.0900269	720.0900269	972.2	1490.0177
740.039978	740.039978	726.039978	980.2	1487.49585
743.01001	743.01001	729.01001	984.2	1485.0128174
745.97998	745.97998	731.97998	988.2	1484.9823
748.960022	748.960022	734.960022	992.2	1490.0177
751.94	751.94	737.94	996.2	1489.9871826
754.9099731	754.9099731	740.9099731	1000.2	1484.9823
757.8900146	757.8900146	743.8900146	1004.2	1490.039917
760.8599854	760.8599854	746.8599854	1008.2	1484.9602051
763.8400269	763.8400269	749.8400269	1012.2	1490.039917
766.82	766.82	752.82	1016.2	1489.9649658
769.789978	769.789978	755.789978	1020.2	1485.0045166
772.77002	772.77002	758.77002	1024.2	1490.039917
775.74	775.74	761.74	1028.2	1485.0045166
778.719971	778.719971	764.719971	1032.2	1489.9649658
781.69	781.69	767.69	1036.2	1485.0350342
784.6699829	784.6699829	770.6699829	1040.2	1489.9649658
787.6500244	787.6500244	773.6500244	1044.2	1490.039917
790.63	790.63	776.63	1048.2	1490.009399
793.6	793.6	779.6	1052.2	1484.9602051
796.5800171	796.5800171	782.5800171	1056.2	1490.039917
799.5499878	799.5499878	785.5499878	1060.2	1484.9602051
802.530029	802.530029	788.530029	1064.2	1490.039917
805.5	805.5	791.5	1068.2	1484.9602051
808.47998	808.47998	794.47998	1072.2	1490.009399
811.4500122	811.4500122	797.4500122	1076.2	1484.9907227
814.43	814.43	800.43	1080.2	1490.009399
817.4	817.4	803.4	1084.2	1485.0350342
820.37	820.37	806.37	1088.2	1484.9602051
823.3499756	823.3499756	809.3499756	1092.2	1490.009399
826.32	826.32	812.32	1096.2	1484.9907227
829.3	829.3	815.3	1100.2	1490.009399
832.27002	832.27002	818.27002	1104.2	1484.9907227
835.24	835.24	821.24	1108.2	1485.0045166
838.219971	838.219971	824.219971	1112.2	1490.009399
841.2	841.2	827.2	1116.2	1489.9954834
844.18	844.18	830.18	1120.2	1490.009399
847.1500244	847.1500244	833.1500244	1124.2	1484.9907227
850.13	850.13	836.13	1128.2	1490.009399
853.1	853.1	839.1	1132.2	1484.9602051
856.0800171	856.0800171	842.0800171	1136.2	1490.039917
859.06	859.06	845.06	1140.2	1490.009399
862.030029	862.030029	848.030029	1144.2	1484.9907227
865.01001	865.01001	851.01001	1148.2	1490.009399
870.960022	870.960022	856.960022	1156.2	1487.5
873.94	873.94	859.94	1160.2	1489.9649658
879.8900146	879.8900146	865.8900146	1168.2	1487.5222168
882.87	882.87	868.87	1172.2	1489.9649658
885.8400269	885.8400269	871.8400269	1176.2	1485.0350342
888.82	888.82	874.82	1180.2	1489.9649658
891.789978	891.789978	877.789978	1184.2	1485.0045166
894.77002	894.77002	880.77002	1188.2	1489.9954834
897.74	897.74	883.74	1192.2	1485.0045166
900.719971	900.719971	886.719971	1196.2	1490.009399
903.69	903.69	889.69	1200.2	1484.9907227
906.6699829	906.6699829	892.6699829	1204.2	1490.009399
909.6400146	909.6400146	895.6400146	1208.2	1484.9907227
912.62	912.62	898.62	1212.2	1490.009399
915.5900269	915.5900269	901.5900269	1216.2	1484.9907227
918.57	918.57	904.57	1220.2	1490.009399
921.539978	921.539978	907.539978	1224.2	1484.9602051
924.52002	924.52002	910.52002	1228.2	1490.039917
927.49	927.49	913.49	1232.2	1485.0045166
