MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
24	24	0	0	1500
24.03	24.03	0.03	2.46	24.3909817
34.97	34.97	10.97	1401.7	15.6370611
37.04	37.04	13.04	1402.459961	5446.8076172
45.94	45.94	21.94	1405.7	5493.8432617
56.91	56.91	32.91	1409.7	5485.070801
67.88	67.88	43.88	1413.7	5484.9052734
78.86	78.86	54.86	1417.7	5490.0751953
89.83	89.83	65.83	1421.7	5484.9077148
100.8	100.8	76.8	1425.7	5485.070801
111.77	111.77	87.77	1429.7	5485.0668945
122.74	122.74	98.74	1433.7	5484.9072266
133.71	133.71	109.71	1437.7	5485.0742188
144.68	144.68	120.68	1441.7	5484.9
155.65	155.65	131.65	1445.7	5485.0703125
166.63	166.63	142.63	1449.7	5489.9116211
177.6	177.6	153.6	1453.7	5485.0771484
199.54	199.54	175.54	1461.7	5484.9848633
210.51	210.51	186.51	1465.7	5485.0703125
221.48	221.48	197.48	1469.7	5484.9067383
232.44	232.44	208.44	1473.7	5480.0722656
243.42	243.42	219.42	1477.7	5489.9042969
254.4	254.4	230.4	1481.7	5490.0678711
265.37	265.37	241.37001	1485.7	5485.0800781
276.34	276.3400269	252.3400116	1489.7	5484.9067383
287.31	287.31	263.31	1493.7	5485.0698242
298.28	298.28	274.28	1497.7	5484.90625
309.24	309.24	285.24	1501.7	5480.0649414
320.22	320.22	296.22	1505.7	5489.9111328
331.19	331.19	307.19	1509.7	5485.0693359
342.1700134	342.1700134	318.1700134	1513.7	5489.9106445
353.1400146	353.1400146	329.1400146	1517.7	5485.0830078
364.1099854	364.1099854	340.1099854	1521.7	5485.0419922
375.0799866	375.0799866	351.0799866	1525.7	5484.92041
386.0499878	386.0499878	362.0499878	1529.7	5485.0693359
397.019989	397.019989	373.019989	1533.7	5484.9057617
418.96	418.96	394.96	1541.7	5484.9873047
440.9	440.9	416.9	1549.7	5485.0688477
451.88	451.8799744	427.8799744	1553.7	5489.9101563
462.84	462.84	438.84	1557.7	5480.0820313
473.82	473.82	449.82	1561.7	5489.9101563
484.78	484.78	460.78	1565.7	5480.0639648
495.76001	495.76001	471.76001	1569.7	5489.9101563
517.7	517.7	493.7	1577.7	5485.0688477
528.68	528.68	504.68	1581.7	5489.8969727
539.6500244	539.6500244	515.6500244	1585.7	5485.0810547
550.62	550.62	526.62	1589.7	5484.9140625
561.5800171	561.5800171	537.5800171	1593.7	5480.0761719
572.56	572.56	548.56	1597.7	5489.897461
583.530029	583.530029	559.530029	1601.7	5485.0810547
594.5	594.5	570.5	1605.7	5485.0561523
605.469971	605.469971	581.469971	1609.7	5484.8925781
616.44	616.44	592.44	1613.7	5485.0805664
627.4199829	627.4199829	603.4199829	1617.7	5489.8969727
638.3900146	638.3900146	614.3900146	1621.7	5485.10498
649.3599854	649.3599854	625.3599854	1625.7	5484.8671875
660.3300171	660.3300171	636.3300171	1629.7	5485.105957
671.3	671.3	647.3	1633.7	5485.0561523
682.27002	682.27002	658.27002	1637.7	5484.9165039
693.24	693.24	669.24	1641.7	5485.0561523
704.210022	704.210022	680.210022	1645.7	5484.9160156
715.18	715.18	691.18	1649.7	5485.0556641
726.1599731	726.1599731	702.1599731	1653.7	5489.8969727
737.13	737.13	713.13	1657.7	5485.0791016
748.1	748.1	724.1	1661.7	5484.921875
759.07	759.07	735.07	1665.7	5485.0791016
770.039978	770.039978	746.039978	1669.7	5485.0561523
781.01001	781.01001	757.01001	1673.7	5484.9155273
791.97998	791.97998	767.97998	1677.7	5485.0561523
802.960022	802.960022	778.960022	1681.7	5489.9199219
813.9199829	813.9199829	789.9199829	1685.7	5480.0507813
824.9	824.9	800.9	1689.7	5489.9194336
835.87	835.8700562	811.8700562	1693.7	5485.0888672
846.8400269	846.8400269	822.8400269	1697.7	5485.0786133
857.81	857.81	833.81	1701.7	5484.8925781
868.77002	868.77002	844.77002	1705.7	5480.0732422
879.75	879.75	855.75	1709.7	5489.897461
890.719971	890.719971	866.719971	1713.7	5485.0561523
901.7	901.7	877.7	1717.7	5489.9189453
