MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
25	25	0	0	1500
25.03	25.03	0.03	3.8	15.7900925
25.46	25.46	0.46	71.8	12.6469774
25.49	25.49	0.49	75.8	15
25.75	25.75	0.75	115.8	13
25.77	25.77	0.77	119.8	10
26.44	26.44	1.44	223.8	12.884589
26.47	26.47	1.47	227.8	15
26.7	26.7	1.7	263.8	12.7778378
26.72	26.72	1.72	267.8	10
26.98	26.98	1.98	307.8	13
27.01	27.01	2.01	311.8	15
27.42	27.42	2.42	375.8	12.8125134
27.44	27.44	2.44	379.8	10
27.7	27.7	2.7	419.8	13
27.73	27.73	2.73	423.8	15
28.68	28.68	3.68	571.8	12.8378668
28.7	28.7	3.7	575.8	10
29.45	29.45	4.45	691.8	12.9310341
29.47	29.47	4.47	695.8	10
30	30	5	777.75	12.9347458
32.56	32.56	7.56	779.8	2497.5847168
35	35	10	781.75	2502.5285645
45	45	20	789.75	2500.0136719
70	70	45	809.75	2499.994873
80	80	55	817.75	2500.0136719
105	105	80	837.75	2499.994873
115	115	90	845.75	2500.0136719
145	145	120	869.75	2499.994873
150	150	125	873.75	2500.0322266
180	180	155	897.75	2499.994873
195	195	170	909.75	2500.0073242
220	220	195	929.75	2499.994873
230	230	205	937.75	2500.0136719
250	250	225	953.75	2499.994873
260	260	235	961.75	2500.0136719
280	280	255	977.75	2499.994873
310	310	285	1001.75	2500.001221
320	320	295	1009.75	2499.994873
325	325	300	1013.749939	2500.0322266
330	330	305	1017.75	2499.9577637
335	335	310	1021.75	2500.0322266
340	340	315	1025.75	2499.9577637
345	345	320	1029.75	2500.0322266
355	355	330	1037.75	2499.994873
360	360	335	1041.75	2500.0322266
365	365	340	1045.75	2499.9577637
370	370	345	1049.75	2500.0322266
375	375	350	1053.75	2499.9577637
380	380	355	1057.75	2500.0322266
390	390	365	1065.75	2499.994873
395	395	370	1069.75	2500.0322266
400	400	375	1073.75	2499.9577637
405	405	380	1077.75	2500.0322266
410	410	385	1081.75	2499.9577637
415	415	390	1085.75	2500.0322266
420	420	395	1089.75	2499.9577637
430	430	405	1097.75	2500.0322266
435	435	410	1101.75	2499.9577637
440	440	415	1105.75	2500.0322266
445	445	420	1109.75	2499.9577637
450	450	425	1113.75	2500.0322266
455	455	430	1117.75	2499.9577637
465	465	440	1125.75	2500.0322266
470	470	445	1129.75	2499.9577637
475	475	450	1133.75	2500.0322266
480	480	455	1137.75	2499.9577637
485	485	460	1141.75	2500.0322266
490	490	465	1145.75	2499.9577637
500	500	475	1153.75	2500.0322266
505	505	480	1157.75	2499.9577637
510	510	485	1161.75	2500.0322266
515	515	490	1165.75	2499.9577637
520	520	495	1169.75	2500.0322266
525	525	500	1173.75	2499.9577637
530	530	505	1177.75	2500.0322266
535	535	510	1181.75	2499.9577637
545	545	520	1189.75	2500.0322266
550	550	525	1193.75	2499.9577637
555	555	530	1197.75	2500.0322266
560	560	535	1201.75	2499.9577637
565	565	540	1205.75	2500.0322266
570	570	545	1209.75	2499.9577637
580	580	555	1217.75	2500.0322266
585	585	560	1221.75	2499.9577637
590	590	565	1225.75	2500.0322266
595	595	570	1229.75	2499.9577637
600	600	575	1233.75	2500.0322266
605	605	580	1237.75	2499.9577637
615	615	590	1245.75	2500.0322266
620	620	595	1249.75	2499.9577637
625	625	600	1253.75	2500.0322266
630	630	605	1257.75	2499.9577637
635	635	610	1261.75	2500.0322266
640	640	615	1265.75	2499.9577637
650	650	625	1273.75	2500.0322266
665	665	640	1285.75	2499.9824219
670	670	645	1289.75	2500.0322266
675	675	650	1293.75	2499.9577637
685	685	660	1301.75	2500.0322266
690	690	665	1305.75	2499.9577637
695	695	670	1309.75	2500.0322266
700	700	675	1313.75	2499.9577637
705	705	680	1317.75	2500.0322266
710	710	685	1321.75	2499.9577637
720	720	695	1329.75	2500.0322266
725	725	700	1333.75	2499.9577637
730	730	705	1337.75	2500.0322266
735	735	710	1341.75	2499.9577637
740	740	715	1345.75	2500.0322266
745	745	720	1349.75	2499.9577637
750	750	725	1353.75	2500.0322266
755	755	730	1357.75	2499.9577637
765	765	740	1365.75	2500.0322266
780	780	755	1377.75	2499.9824219
785	785	760	1381.75	2500.0322266
790	790	765	1385.75	2499.9577637
800	800	775	1393.75	2500.0322266
805	805	780	1397.75	2499.9577637
810	810	785	1401.75	2500.0322266
815	815	790	1405.75	2499.9577637
820	820	795	1409.75	2500.0322266
825	825	800	1413.75	2499.9577637
835	835	810	1421.75	2500.0322266
840	840	815	1425.75	2499.9577637
845	845	820	1429.75	2500.0322266
850	850	825	1433.75	2499.9577637
855	855	830	1437.75	2500.0322266
860	860	835	1441.75	2499.9577637
870	870	845	1449.75	2500.0322266
885	885	860	1461.75	2499.9824219
889.99	889.99	864.99	1465.75	2495.0273438
890	890	865	1465.76001	1999.2380371
894.99	894.99	869.99	1469.75	2501.2143555
895.01001	895.01001	870.01001	1469.76001	3998.4760742
900	900	875	1473.75	2501.2890625
900.01001	900.01001	875.01001	1473.76001	1999.2380371
904.99	904.99	879.99	1477.75	2496.2714844
909.99	909.99	884.99	1481.75	2499.9577637
910	910	885	1481.76001	1999.2380371
915	915	890	1485.75	2506.306641
920	920	895	1489.75	2499.9577637
924.99	924.99	899.99	1493.75	2495.0273438
929.99	929.99	904.99	1497.75	2499.9577637
930	930	905	1497.76001	1999.2380371
934.99	934.99	909.99	1501.75	2501.2890625
935.01001	935.01001	910.01001	1501.76001	3998.4760742
940	940	915	1505.75	2501.2890625
940.01001	940.01001	915.01001	1505.76001	1999.2380371
944.99	944.99	919.99	1509.75	2496.1970215
945	945	920	1509.76001	1999.2380371
949.99	949.99	924.99	1513.75	2501.2890625
950	950	925	1513.76001	1999.2380371
955.01001	955.01001	930.01001	1517.76001	2504.9624023
960	960	935	1521.75	2501.2890625
960.01001	960.01001	935.01001	1521.76001	1999.2380371
964.99	964.99	939.99	1525.75	2496.1970215
969.99	969.99	944.99	1529.75	2500.0322266
970	970	945	1529.76001	1999.2380371
974.99	974.99	949.99	1533.75	2501.2143555
975	975	950	1533.76001	2023.3253174
980	980	955	1537.76001	2499.9577637
990	990	965	1545.76001	2499.994873
995	995	970	1549.76001	2500.0322266
1005	1005	980	1557.76001	2499.994873
1010	1010	985	1561.76001	2499.9577637
1020	1020	995	1569.76001	2500.0322266
1025	1025	1000	1573.76001	2499.9577637
1045	1045	1020	1589.76001	2499.994873
1055	1055	1030	1597.76001	2500.0322266
1060	1060	1035	1601.76001	2499.9577637
1065	1065	1040	1605.76001	2500.0322266
1070	1070	1045	1609.76001	2499.9577637
1075	1075	1050	1613.76001	2500.0322266
1080	1080	1055	1617.76001	2499.9577637
1090	1090	1065	1625.76001	2500.0322266
1095	1095	1070	1629.76001	2499.9577637
1100	1100	1075	1633.76001	2500.0322266
1105	1105	1080	1637.76001	2499.9577637
1110	1110	1085	1641.76001	2500.0322266
1115	1115	1090	1645.76001	2499.9577637
1125	1125	1100	1653.76001	2500.0322266
1130	1130	1105	1657.76001	2499.9577637
1135	1135	1110	1661.76001	2500.0322266
1140	1140	1115	1665.76001	2499.9577637
1145	1145	1120	1669.76001	2500.0322266
1150	1150	1125	1673.76001	2499.9577637
1160	1160	1135	1681.76001	2500.0322266
1165	1165	1140	1685.76001	2499.9577637
1170	1170	1145	1689.76001	2500.0322266
1175	1175	1150	1693.76001	2499.9577637
1180	1180	1155	1697.76001	2500.0322266
1185	1185	1160	1701.76001	2499.9577637
1195	1195	1170	1709.76001	2500.0322266
1200	1200	1175	1713.76001	2499.9577637
1205	1205	1180	1717.76001	2500.0322266
1210	1210	1185	1721.76001	2499.9577637
1215	1215	1190	1725.76001	2500.0322266
1220	1220	1195	1729.76001	2499.9577637
1225	1225	1200	1733.76001	2500.0322266
1230	1230	1205	1737.76001	2499.9577637
1240	1240	1215	1745.76001	2500.0322266
1245	1245	1220	1749.76001	2499.9577637
1250	1250	1225	1753.76001	2500.0322266
1255	1255	1230	1757.76001	2499.9577637
1260	1260	1235	1761.76001	2500.0322266
1265	1265	1240	1765.76001	2499.9577637
1275	1275	1250	1773.76001	2500.0322266
1280	1280	1255	1777.76001	2499.9577637
1285	1285	1260	1781.76001	2500.0322266
1290	1290	1265	1785.76001	2499.9577637
1295	1295	1270	1789.76001	2500.0322266
1300	1300	1275	1793.76001	2499.9577637
1310	1310	1285	1801.76001	2500.0322266
1315	1315	1290	1805.76001	2499.9577637
1320	1320	1295	1809.76001	2500.0322266
1325	1325	1300	1813.76001	2499.9577637
1330	1330	1305	1817.76001	2500.0322266
1335	1335	1310	1821.75	2506.231689
1335.01001	1335.01001	1310.01001	1821.76001	1999.2380371
1340	1340	1315	1825.75	2501.2890625
1350	1350	1325	1833.75	2499.994873
1355	1355	1330	1837.75	2500.0322266
1360	1360	1335	1841.75	2499.9577637
1365	1365	1340	1845.75	2500.0322266
1370	1370	1345	1849.75	2499.9577637
1375	1375	1350	1853.75	2500.0322266
1385	1385	1360	1861.75	2499.994873
1390	1390	1365	1865.75	2500.0322266
1395	1395	1370	1869.75	2499.9577637
1400	1400	1375	1873.75	2500.0322266
1405	1405	1380	1877.75	2499.9577637
1410	1410	1385	1881.75	2500.0322266
1415	1415	1390	1885.75	2499.9577637
1425	1425	1400	1893.75	2500.0322266
1430	1430	1405	1897.75	2499.9577637
1435	1435	1410	1901.75	2500.0322266
1440	1440	1415	1905.75	2499.9577637
1445	1445	1420	1909.75	2500.0322266
1450	1450	1425	1913.75	2499.9577637
1460	1460	1435	1921.75	2500.0322266
1465	1465	1440	1925.75	2499.9577637
1470	1470	1445	1929.75	2500.0322266
1475	1475	1450	1933.75	2499.9577637
1479.3100586	1479.3100586	1454.3100586	1937.75	2155.0571289
1480	1480	1455	1939.01001	1095.1083984
1483.26001	1483.26001	1458.26001	1941.75	2379.547119
1483.63	1483.63	1458.63	1942.0600586	2386.5773926
1484.3199463	1484.3199463	1459.3199463	1943.3199463	1095.3156738
1485	1485	1460	1944.5699463	1088.0610352
1488.63	1488.63	1463.63	1947.63	2372.4726563
1489.3100586	1489.3100586	1464.3100586	1948.88	1088.1647949
1490	1490	1465	1950.1400146	1095.1083984
1493.63	1493.63	1468.63	1953.1899414	2380.3547363
1494.3199463	1494.3199463	1469.3199463	1954.4399414	1103.8809814
1495	1495	1470	1955.6899414	1088.1647949
1498.63	1498.63	1473.63	1958.75	2372.4726563
1499.3100586	1499.3100586	1474.3100586	1960	1088.0610352
1500	1500	1475	1961.26001	1095.2120361
1503.62	1503.62	1478.62	1964.3100586	2373.697998
1504.3100586	1504.3100586	1479.3100586	1965.5699463	1095.4057617
1505	1505	1480	1966.8299561	1095.1083984
1508.63	1508.63	1483.63	1969.88	2380.3547363
1509.3199463	1509.3199463	1484.3199463	1971.1400146	1095.1083984
1510	1510	1485	1972.3900146	1088.0610352
1513.63	1513.63	1488.63	1975.4499512	2372.6577148
1514.3100586	1514.3100586	1489.3100586	1976.7	1088.0610352
1515	1515	1490	1977.959961	1095.1083984
1518.63	1518.63	1493.63	1981.01001	2380.3547363
1519.3199463	1519.3199463	1494.3199463	1982.26001	1103.8809814
1520	1520	1495	1983.51001	1088.0610352
1523.63	1523.63	1498.63	1986.5699463	2372.5651855
1524.3100586	1524.3100586	1499.3100586	1987.8199463	1088.1647949
1525	1525	1500	1989.0799561	1095.1083984
1528.63	1528.63	1503.63	1992.13	2380.2617188
1529.3199463	1529.3199463	1504.3199463	1993.3900146	1095.2120361
1530	1530	1505	1994.6400146	1088.0610352
1533.63	1533.63	1508.63	1997.7	2372.5651855
1534.3100586	1534.3100586	1509.3100586	1998.9499512	1088.0610352
1535	1535	1510	2000.210083	1095.1083984
1538.63	1538.63	1513.63	2003.2598877	2380.4477539
1539.3199463	1539.3199463	1514.3199463	2004.5198975	1095.1083984
1540	1540	1515	2005.76001	1096.8475342
1543.63	1543.63	1518.63	2008.8300781	2364.734619
1544.3100586	1544.3100586	1519.3100586	2010.0698242	1097.0584717
1545	1545	1520	2011.329834	1095.1083984
1548.63	1548.63	1523.63	2014.38	2380.2617188
