DEPTH,CAL,DTCO,DTSM,LITHO,PHIE,PHIT,RHOB,SW,VCLAY,WELL,VP,IP,IS,VS
2610.066,12.86394,113.7872,171.745,57.0,0.1470344062991945,0.4390009566928952,2.203528,1.0,1.0,1-BRSA-192-ESS,2678.684421446349,5902.55612582083,3910.6543678127455,1774.7241549972343
2610.166,12.70436,114.6079,173.4674,57.0,0.1729298133857081,0.464896413385708,2.252918,0.9270572566935672,1.0,1-BRSA-192-ESS,2659.50252993031,5991.641120725535,3958.6078214119775,1757.1024872685011
2610.266,12.54872,114.4659,177.0846,57.0,0.1221266181102958,0.4140931803150202,2.245022,1.0,1.0,1-BRSA-192-ESS,2662.8017601748643,5978.048533231295,3864.1570503589815,1721.2112176891724
2610.366,13.07221,114.5038,178.4101,57.0,0.1234732543306477,0.4154398228345847,2.266152,1.0,1.0,1-BRSA-192-ESS,2661.920390414991,6032.316216579712,3871.5472363952485,1708.4234580889758
2610.466,12.77969,114.7081,,57.0,0.1643512771654249,0.4563178519685745,2.266346,0.9880949921255846,1.0,1-BRSA-192-ESS,2657.1793970957588,6022.087897890385,,
2610.566,12.94888,115.5042,,57.0,0.1979420850392672,0.4899086661416294,2.173443,0.8188209574806634,1.0,1-BRSA-192-ESS,2638.865080230849,5735.4228365721765,,
2610.666,12.68079,116.4128,,57.0,0.1915251417322382,0.4834916543306634,2.156989,0.8716817338585187,1.0,1-BRSA-192-ESS,2618.2687814398414,5647.576960609142,,
2610.766,13.41005,117.4351,,57.0,0.1401376141732697,0.4321041141732697,2.167744,1.0,1.0,1-BRSA-192-ESS,2595.476139586887,5626.327828732636,,
2610.866,14.11609,119.5449,,57.0,0.1846,0.4765666,2.129435,0.9189653,1.0,1-BRSA-192-ESS,2549.669622041593,5429.35573161214,,
2610.966,13.32752,120.4634,,57.0,0.1883316755904407,0.4802982755904407,2.149703,0.8812796527563383,1.0,1-BRSA-192-ESS,2530.2290986307876,5439.2410840139,,
2611.066,12.66305,120.1518,,57.0,0.1597602913386135,0.4517268913386135,2.2018,0.9999008503936976,1.0,1-BRSA-192-ESS,2536.790959436313,5585.506334486874,,
2611.166,13.10358,121.7974,,57.0,0.0996900363778207,0.391656585039238,2.232924,1.0,1.0,1-BRSA-192-ESS,2502.5164740790856,5587.929095366569,,
2611.266,12.74721,122.7227,,57.0,0.0960868971653228,0.3659703259842337,2.250322,1.0,0.92436410236225,1-BRSA-192-ESS,2483.6480944438154,5589.007947184996,,
2611.366,13.92395,122.6647,,57.0,0.0810954520472179,0.3578759031495913,2.274433,1.0,0.9479869456693296,1-BRSA-192-ESS,2484.822446881621,5651.562172328307,,
2611.466,12.71464,120.6478,,57.0,0.0890348299212782,0.3394116055117873,2.246109,1.0,0.8575528999998557,1-BRSA-192-ESS,2526.3618565775755,5674.484103315602,,
2611.566,12.67933,119.6492,176.8966,57.0,0.0975529127559129,0.3265044425197084,2.213728,1.0,0.7841703527559603,1-BRSA-192-ESS,2547.447036837689,5639.354833964624,3814.3429234931596,1723.0404654470465
2611.666,13.09346,120.4636,178.334,57.0,0.0927703842519667,0.3201236417322818,2.214576,1.0,0.7786962110236223,1-BRSA-192-ESS,2530.224897811455,5603.3753332957,3785.0480828109057,1709.1524891495733
2611.766,12.71053,117.1696,169.8998,58.0,0.108546407086609,0.2979420503937078,2.281856,1.0,0.6486896000000415,1-BRSA-192-ESS,2601.357348663817,5935.922874192623,4093.6464245396405,1793.9985803397062
2611.866,12.73779,113.2,161.4195,58.0,0.102600065984292,0.2858247629921165,2.329212,1.0,0.6275536472439249,1-BRSA-192-ESS,2692.5795053003535,6271.5884946996475,4398.129207437763,1888.2477024151358
2611.966,12.75133,109.095,155.5676,58.0,0.0574382703935683,0.2985315740157922,2.330375,1.0,0.8257566787407624,1-BRSA-192-ESS,2793.895228928915,6510.823594115221,4565.84982991317,1959.276867419694
